row,debt,dividend,earnings,inflation,markets,bonds,FTSE,financial markets,investment,derivatives,economy,stocks,economics,leverage,risk,short selling,credit,price
0,53,39,58,51,65,29,8,24,83,70,50,56,58,80,81,22,42,6388.73
1,65,37,58,66,74,61,8,22,83,69,56,56,68,76,88,47,42,6546.47
2,55,40,55,73,86,28,7,26,86,75,59,51,72,86,90,38,42,6567.24
3,59,41,58,76,91,28,7,21,91,74,61,59,68,81,92,64,44,6654.37
4,52,34,54,66,84,25,8,21,86,65,54,59,64,68,87,51,41,6750.76
5,65.1,40,54,67,77,52,8,21,81,57,59,51,66,78,88,34,42,6722.62
6,55.1,31,53,64,67,38,9,25,78,77,57,62,65,77,86,35,40,6742.84
7,51,36,52,67,60,32,10,17,69,44,54,100,51,63,72,41,41,6300.63
8,30,24,39,33,32,23,5,14,46,38,36,61,27,52,43,15,31,6545.27
9,40,27,49,38,24,47,6,14,51,44,44,66,34,53,46,44,40,6609.93
10,59.1,51,63,69,27,73,8,20,81,60,59,63,68,79,83,18,46,6547.8
11,60,49,63,100,30,100,8,17,89,69,64,66,76,86,92,54,44,6501.14
12,61,47,67,80,29,67,8,24,93,64,64,67,68,69,89,50,48,6550.27
13,70,50,77,65,29,44,9,22,94,71,62,64,69,53,87,56,46,6832.83
14,66,41,67,69,28,67,8,25,86,80,57,56,65,64,90,57,45,6749.4
15,61.1,43,59,86,29,58,8,19,94,84,60,62,66,70,88,33,44,6853.44
16,63,45,56,75,29,39,9,19,89,79,56,66,55,61,80,42,46,6873.52
17,57,69,67,76,29,38,10,22,91,67,59,66,67,61,88,42,44,6915.2
18,60.1,60,65,73,28,67,8,21,88,94,60,64,66,77,92,47,44,6946.66
19,59.2,44,62,72,31,36,8,23,91,64,59,66,65,62,92,34,43,6911.8
20,63.1,51,60,78,27,36,9,22,95,79,59,63,68,75,91,37,43,6740.58
21,56,45,61,88,29,33,10,16,89,80,58,65,62,72,87,26,44,7022.51
22,58,45,54,51,29,49,7,17,79,60,50,67,53,55,71,27,43,6855.02
23,54,44,66,54,32,38,8,14,78,66,48,67,50,62,67,40,43,6833.46
24,64,44,68,73,31,32,8,21,86,63,50,66,65,62,88,21,45,7089.77
25,63.2,41,75,66,31,31,7,22,91,71,58,63,82,66,92,42,46,6994.63
26,60.2,45,78,68,30,38,7,25,82,66,57,64,82,80,91,28,47,7070.7
27,69,45,72,55,31,52,9,17,73,74,60,62,96,70,82,36,43,6985.95
28,66.1,50,67,70,31,37,8,23,86,71,59,65,100,80,96,39,47,7046.82
29,59.3,57,59,98,31,27,7,15,79,85,52,60,85,73,87,39,45,6960.49
30,51.1,42,54,44,33,25,6,17,73,50,47,59,50,58,72,21,45,7031.72
31,57.1,37,55,47,31,46,7,16,79,68,50,58,54,62,82,32,46,6984.43
32,56.1,38,54,49,31,27,7,19,78,68,49,57,63,62,82,29,46,6804.6
33,64.1,33,53,58,30,23,8,18,76,62,51,58,61,45,78,31,45,6784.92
34,69.1,31,58,45,31,24,8,16,80,57,49,56,40,41,81,46,48,6710.45
35,88,32,61,41,32,42,10,20,76,64,53,59,40,55,87,35,45,6753.7
36,93,100,75,48,38,30,12,17,74,57,54,58,37,51,75,47,52,6585.78
37,71,53,71,47,32,26,9,18,77,49,48,56,35,50,73,35,48,6673.38
38,55.2,44,71,42,34,24,7,13,78,52,47,58,30,58,70,38,48,6775.08
39,53.1,53,65,41,37,26,8,16,71,55,47,57,28,74,66,39,50,6579.81
40,50,45,59,45,36,52,7,14,73,56,45,60,29,60,64,38,47,6696.28
41,51.2,47,62,41,38,26,8,14,75,57,46,50,49,57,67,27,46,6718.49
42,50.1,40,55,47,42,23,10,14,73,54,47,58,44,60,67,35,46,6550.74
43,50.2,41,52,37,50,23,22,19,70,49,54,71,36,47,66,53,45,6187.65
44,44,37,47,45,45,43,10,14,69,55,50,58,48,57,62,27,44,6247.94
45,51.3,42,53,51,45,31,9,18,77,54,53,54,62,57,71,23,46,6042.92
46,51.4,36,50,59,47,30,8,18,73,67,56,52,62,59,79,42,45,6117.76
47,49,39,51,57,49,29,11,22,77,55,52,54,68,61,76,38,42,6104.11
48,51.5,44,54,56,55,41,10,23,80,67,58,54,77,49,79,22,44,6109.01
49,53.2,47,57,56,56,39,11,21,87,77,61,54,76,68,89,26,46,6129.98
50,55.3,39,60,65,60,30,10,22,91,100,59,56,77,63,86,36,44,6416.16
51,53.3,39,61,60,59,30,9,22,89,60,57,51,68,79,89,31,47,6378.04
52,53.4,44,69,45,64,30,9,25,82,87,50,52,52,68,79,22,49,6444.08
53,55.4,42,61,65,73,56,9,20,87,77,59,51,66,55,92,39,45,6361.09
54,52.1,44,57,65,79,31,9,24,84,68,58,50,67,81,95,43,43,6353.83
55,52.2,43,56,67,85,28,9,22,81,78,56,54,68,75,99,31,43,6118.28
56,52.3,43,58,66,89,26,9,18,81,69,54,50,62,74,94,30,45,6334.63
57,51.6,44,54,63,79,45,9,19,81,69,54,53,69,76,87,33,45,6375.15
58,52.4,42,52,61,73,30,10,22,81,69,55,51,62,72,90,27,42,6238.29
59,49.1,40,59,61,71,27,12,16,75,64,48,47,50,58,77,42,41,5952.78
60,33,30,50,37,45,21,9,14,53,36,35,52,27,29,55,14,35,6052.42
61,35,30,47,35,25,30,7,8,49,37,41,51,30,47,58,30,41,6254.64
62,60.3,52,60,56,32,62,14,16,86,75,63,91,61,69,86,70,48,6242.32
63,59.4,55,74,59,32,32,15,20,86,79,64,75,69,76,91,53,44,5912.44
64,62,57,74,68,36,31,22,29,90,78,72,78,63,73,93,44,48,5804.1
65,63.3,58,81,62,33,29,17,27,90,64,60,68,65,63,88,51,47,5900.01
66,60.4,50,72,60,34,46,16,31,89,63,61,65,60,77,92,64,47,6083.79
67,61.2,51,67,61,35,29,23,28,82,84,61,67,56,67,92,66,45,5848.06
68,100,54,60,55,35,26,20,22,85,72,55,60,50,80,87,44,47,5707.6
69,72,68,64,68,33,26,19,21,90,87,64,61,63,73,96,44,45,5950.23
70,65.2,65,63,69,31,46,19,19,93,87,63,61,62,74,93,31,46,6096.01
71,64.2,60,64,67,30,29,17,22,93,68,67,63,66,79,97,42,46,6199.43
72,63.4,62,65,77,34,25,15,24,92,58,63,66,61,90,95,22,46,6139.79
73,54.1,47,62,53,32,22,14,21,80,56,53,62,51,67,81,31,42,6189.64
74,54.2,59,62,46,30,32,13,17,79,53,55,71,46,61,69,25,45,6106.48
75,63.5,62,67,52,32,37,13,16,90,69,50,67,50,81,84,38,48,6146.05
76,60.5,61,80,65,32,27,14,21,93,67,57,69,64,73,91,32,46,6204.41
77,60.6,55,71,66,32,25,15,20,88,66,60,61,65,90,99,34,46,6343.75
78,62.1,55,73,67,32,26,13,20,86,57,58,60,72,87,94,31,46,6310.44
79,56.2,46,64,61,35,53,11,24,76,78,58,58,71,74,87,46,44,6241.89
80,60.7,52,59,62,34,30,12,18,85,78,60,57,95,79,94,41,46,6125.7
81,63.6,61,60,67,34,25,12,17,87,86,60,58,91,74,96,32,48,6138.5
82,60.8,55,61,59,32,23,12,19,78,62,53,57,69,75,85,41,46,6156.32
83,54.3,36,53,41,34,38,11,19,76,80,53,59,46,61,72,44,44,6270.79
84,60.9,34,55,45,30,25,13,20,80,57,56,54,49,51,83,49,45,6209.63
85,55.5,33,54,45,30,22,17,19,71,55,54,54,54,69,77,34,45,6115.76
86,62.2,35,47,57,66,20,81,100,78,59,100,98,72,73,76,34,45,6021.09
87,54.4,47,64,47,58,30,100,64,80,35,73,95,40,65,75,61,48,6138.69
88,56.3,42,67,41,36,32,43,24,79,58,57,62,33,70,73,36,49,6577.83
89,56.4,43,68,42,37,22,40,26,72,57,48,67,28,63,69,38,48,6590.64
90,52.5,41,65,46,35,20,29,20,80,55,51,59,26,60,68,52,47,6669.24
91,52.6,53,78,38,34,21,24,10,78,42,49,58,26,65,66,24,49,6730.48
92,54.5,46,64,46,35,46,23,14,78,54,51,58,28,60,66,31,49,6724.43
93,49.2,48,61,39,34,24,23,14,74,33,46,56,24,54,65,39,45,6793.47
94,50.3,43,58,47,34,21,20,13,69,35,45,55,37,53,63,32,44,6916.02
95,52.7,39,56,38,38,20,19,19,78,52,45,57,37,66,67,32,46,6858.95
96,49.3,39,45,37,41,34,17,14,77,48,50,56,37,53,61,35,48,6838.05
97,54.6,41,52,46,45,30,18,18,82,56,52,63,52,55,73,30,50,6894.6
98,58.1,40,54,53,47,27,18,14,82,59,55,54,55,47,77,37,51,6776.95
99,57.2,44,54,49,48,26,18,20,81,55,56,59,61,51,81,32,48,6710.28
