row,debt,markets,price
0,57,62,6388.73
1,54,63,6546.47
2,66,71,6567.24
3,58,84,6654.37
4,61,89,6750.76
5,55,79,6722.62
6,64,74,6742.84
7,55,66,6300.63
8,53,58,6545.27
9,29,33,6609.93
10,41,23,6547.8
11,58,26,6501.14
12,60,29,6550.27
13,61,30,6832.83
14,73,27,6749.4
15,69,28,6853.44
16,59,29,6873.52
17,64,29,6915.2
18,61,29,6946.66
19,60,28,6911.8
20,60,31,6740.58
21,67,29,7022.51
22,60,28,6855.02
23,61,28,6833.46
24,55,31,7089.77
25,64,30,6994.63
26,67,30,7070.7
27,61,30,6985.95
28,68,32,7046.82
29,65,31,6960.49
30,58,30,7031.72
31,50,33,6984.43
32,59,30,6804.6
33,58,30,6784.92
34,66,30,6710.45
35,66,30,6753.7
36,89,32,6585.78
37,94,36,6673.38
38,73,31,6775.08
39,55,34,6579.81
40,54,35,6696.28
41,50,37,6718.49
42,53,37,6550.74
43,50,42,6187.65
44,51,49,6247.94
45,44,43,6042.92
46,53,45,6117.76
47,54,47,6104.11
48,51,49,6109.01
49,53,54,6129.98
50,53,55,6416.16
51,54,60,6378.04
52,55,59,6444.08
53,55,61,6361.09
54,56,73,6353.83
55,55,79,6118.28
56,53,82,6334.63
57,55,87,6375.15
58,51,76,6238.29
59,52,74,5952.78
60,50,70,6052.42
61,35,46,6254.64
62,35,25,6242.32
63,60,33,5912.44
64,59,32,5804.1
65,65,37,5900.01
66,64,33,6083.79
67,63,32,5848.06
68,63,35,5707.6
69,100,32,5950.23
70,72,32,6096.01
71,64,31,6199.43
72,65,30,6139.79
73,66,33,6189.64
74,54,31,6106.48
75,53,31,6146.05
76,61,31,6204.41
77,62,32,6343.75
78,62,32,6310.44
79,63,32,6241.89
80,58,35,6125.7
81,61,34,6138.5
82,60,32,6156.32
83,60,32,6270.79
84,53,35,6209.63
85,63,29,6115.76
86,55,30,6021.09
87,60,64,6138.69
88,56,58,6577.83
89,55,36,6590.64
90,56,35,6669.24
91,53,33,6730.48
92,53,35,6724.43
93,55,34,6793.47
94,50,33,6916.02
95,51,34,6858.95
96,53,35,6838.05
97,50,43,6894.6
98,54,47,6776.95
99,56,45,6710.28
100,57,49,6909.43
101,61,51,6899.33
102,62,58,7044.39
103,61,63,7013.55
104,59,62,7020.47
105,59,64,6996.26
106,58,70,6693.26
107,63,100,6730.43
108,64,89,6775.77
109,68,86,6840.75
110,61,92,6730.72
111,58,82,6954.21
112,54,70,7011.64
113,45,65,7068.17
114,33,22,7142.83
115,59,28,7210.05
116,70,26,7337.81
117,69,29,7198.44
118,67,26,7184.49
119,68,27,7188.3
120,68,27,7258.75
121,64,28,7299.96
122,66,29,7243.7
123,65,28,7374.26
124,72,31,7343.08
125,64,28,7424.96
